

Interrupt IDs
-------------

Name                                     Number
=====                                    ============
WCDMA_CDIINT5                            133  (0x085)
WCDMA_CDIINT6                            134  (0x086)
WCDMA_CDIINT7                            135  (0x087)
WCDMA_CDIINT8                            136  (0x088)
WCDMA_CDIINT9                            137  (0x089)
WCDMA_RAIFDSPINT0                        138  (0x08A)
WCDMA_RAIFDSPINT1                        139  (0x08B)
WCDMA_RAIFDSPINT2                        140  (0x08C)
WCDMA_RAIFDSPINT3                        141  (0x08D)
WCDMA_RAIFDSPINT4                        142  (0x08E)
WCDMA_RAIFDSPINT5                        143  (0x08F)
WCDMA_RAIFDSPINT6                        144  (0x090)
WCDMA_RAIFDSPINT7                        145  (0x091)
WCDMA_RAIFDSPINT8                        146  (0x092)
WCDMA_RAIFDSPINT9                        147  (0x093)
WCDMA_ENCIL2INT                          148  (0x094)
WCDMA_ENCIL1INT                          149  (0x095)
WCDMA_ENCCCINT                           150  (0x096)
WCDMA_ENCTURBOINT                        151  (0x097)
WCDMA_RAKERTRACEINT                      152  (0x098)
WCDMA_RAKERPRGENINT0                     153  (0x099)
WCDMA_RAKERPRGENINT1                     154  (0x09A)
WCDMA_RAKERPRGENINT2                     155  (0x09B)
WCDMA_RAKERPRGENINT3                     156  (0x09C)
WCDMA_RAKERPRGENINT4                     157  (0x09D)
WCDMA_RAKERPRGENINT5                     158  (0x09E)
WCDMA_RAKERPRGENINT6                     159  (0x09F)
WCDMA_RAKERPRGENINT7                     160  (0x0A0)
WCDMA_RAKERPRGENINT8                     161  (0x0A1)
WCDMA_RAKERPRGENINT9                     162  (0x0A2)
WCDMA_RAKERPRGENINT10                    163  (0x0A3)
WCDMA_RAKERPRGENINT11                    164  (0x0A4)
WCDMA_RAKERPRGENINT12                    165  (0x0A5)
WCDMA_RAKERPRGENINT13                    166  (0x0A6)
WCDMA_RAKERPRGENINT14                    167  (0x0A7)
WCDMA_RAKERPRGENINT15                    168  (0x0A8)
WCDMA_HSCDIINT0                          169  (0x0A9)
WCDMA_HSCDIINT1                          170  (0x0AA)
WCDMA_HSCDIINT2                          171  (0x0AB)
WCDMA_HSCDIINT3                          172  (0x0AC)
WCDMA_HSCDIINT4                          173  (0x0AD)
WCDMA_HSCDIINT5                          174  (0x0AE)
WCDMA_HSCDIINT6                          175  (0x0AF)
WCDMA_HSCDIINT7                          176  (0x0B0)
WCDMA_HSCDIINT8                          177  (0x0B1)
WCDMA_HSCDIINT9                          178  (0x0B2)
WCDMA_HSCDIINT10                         179  (0x0B3)
WCDMA_HSCDIINT11                         180  (0x0B4)
WCDMA_HSCDIINT12                         181  (0x0B5)
WCDMA_HSCDIINT13                         182  (0x0B6)
WCDMA_HSCDIINT14                         183  (0x0B7)
WCDMA_HSCDIINT15                         184  (0x0B8)
WCDMA_HSCDIINT16                         185  (0x0B9)
WCDMA_SEAINTERROR                        186  (0x0BA)
WCDMA_SEAINTSAMP                         187  (0x0BB)
WCDMA_SEAINTSCRC0                        188  (0x0BC)
